symbol,security_id,AvgVolume_5d
FACT,1008,588800
GUJRAFFIA,10097,2566
GODREJCP,10099,385806
ORICONENT,10159,552656
BALKRISHNA,10181,32200
SHYAMCENT,10192,9649
ADANIENSOL,10217,986803
MANORAMA,10227,100561
FEDERALBNK,1023,8604547
CONFIPET,10238,1698493
SYNGENE,10243,539386
KAYA,10276,65956
AYMSYNTEX,10285,19333
NGLFINE,10287,485
KCK,10293,156250
PPL,10297,109531
AARON,1030,14354
RAMASTEEL,10300,19721804
AURUM,10310,35990
MWL,10311,49500
PKTEA,10321,1628
RADHIKAJWE,10343,449415
DGCONTENT,10346,49216
CSLFINANCE,10350,17401
FINCABLES,1038,357983
JISLJALEQS,10397,2688940
STEELCITY,10406,24069
KSHITIJPOL,10407,141512
FINPIPE,1041,8151726
DYCL,10417,123945
LUPIN,10440,1036743
UNITDSPR,10447,820905
SATIN,10453,116106
ARVSMART,10457,72132
RAMRAT,10485,252798
AGNI,10498,7500
MOHEALTH,10508,36385
CONS,10512,18243
UFLEX,1053,228795
SHARDAMOTR,10530,60772
NAVKARCORP,10557,403622
NIFTYBEES,10576,6696756
KRBL,10577,1176993
MPSLTD,10578,25119
MARKSANS,10579,1218058
TCI,10580,22731
SHREEPUSHK,10588,48142
GUJGASLTD,10599,391984
BHARTIARTL,10604,4864768
LOYALTEX,10605,255
