symbol,timestamp,security_id,quantity,buy_price,momentum_5min,target_pct,stop_pct,live_price,change_pct,last_checked,status,exit_price,order_id,target_price,stop_price
ICICIGI,7/1/2025 12:36,21770,1,2064.1,0,0.04,0.03,2039.3,-1.2,7/4/2025 10:07,PROFIT,,1.13E+12,2064.93,2063.48
VBL,7/2/2025 9:41,18921,7,456.25,0,0.1,0.06,455,-0.27,7/2/2025 14:41,PROFIT,,3.13E+12,456.71,455.98
VEDL,7/3/2025 11:58,3063,10,467.5,0,0.09,0.06,,,,PROFIT,,2.13E+12,467.92,467.22
TATACONSUM,7/3/2025 13:49,3432,4,1097.6,0,0.12,0.08,,,,PROFIT,,9.13E+12,1098.92,1096.72
JSWSTEEL,7/4/2025 9:52,11723,4,1047.5,0,0.12,0.08,,,,STOP LOSS,,1.01E+13,1048.76,1046.66
POWERGRID,7/7/2025 9:46,14977,16,296.8,0,0.15,0.1,,,,STOP LOSS,,1.01E+12,297.25,296.5
NTPC,7/7/2025 10:32,11630,14,339.25,0,0.07,0.05,,,,STOP LOSS,,7.13E+12,339.49,339.08
NESTLEIND,7/7/2025 10:55,17963,2,2401.5,0,0.07,0.05,,,,STOP LOSS,,9.13E+12,2403.18,2400.3
NTPC,7/7/2025 11:45,11630,14,339.1,0,0.02,0.02,,,,STOP LOSS,,1.13E+12,339.17,339.03
ITC,7/7/2025 13:16,1660,11,417.65,0,0.07,0.05,416,-0.39506764,7/8/2025 9:45,STOP LOSS,,6.13E+12,417.94,417.44
GRASIM,7/8/2025 9:45,1232,1,2801.9,0,0.09,0.06,2795.4,-0.231985438,7/8/2025 9:45,STOP LOSS,,3.13E+11,2804.42,2800.22
BEL,7/8/2025 10:54,383,11,423,0,0.1,0.07,422.15,-0.200945626,7/8/2025 10:57,STOP LOSS,,8.13E+12,423.42,422.7
HINDALCO,7/8/2025 10:24,1363,7,692.45,0,0.1,0.07,687.9,-0.657087154,7/8/2025 10:33,STOP LOSS,,3.13E+12,693.14,691.97
BEL,7/8/2025 10:54,383,11,423,0,0.1,0.07,422.15,-0.200945626,7/8/2025 10:57,STOP LOSS,,8.13E+12,423.42,422.7
CHOLAFIN,7/9/2025 9:58,685,3,1538,0,0.17,0.11,1540.9,0.188556567,7/9/2025 10:42,PROFIT,,7.13E+12,1540.61,1536.31
ICICIGI,7/9/2025 11:33,21770,2,2029.3,0,0.1,0.07,,,,STOP LOSS,,5.13E+12,2031.33,2027.87
BHARTIARTL,7/9/2025 11:42,10604,2,2037.2,0,0.04,0.02,2030,-0.353426271,7/9/2025 11:44,STOP LOSS,,1.13E+12,2038.02,2036.79
HINDUNILVR,7/9/2025 11:56,1394,2,2431.7,0,0.1,0.07,2429.3,-0.098696385,7/9/2025 12:17,PROFIT,,1.01E+13,2434.14,2429.99
7/18/2025 12:47,JSWENERGY,17869,BUY,525.15,6,HOLD,,,,,,,,,
ETERNAL,7/21/2025 10:37,5097,26,261,0,,,,,,,HOLD,,,
ADANIPOWER,7/21/2025 11:08,17388,7,600,0,,,,,,,HOLD,N/A,,
